url,label,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A12,A14,A13,A15,A17,A25,A18,A19,A21,A23,A22,A24
apple.com,0,17,0,0,1,0,0,0,1,8,1219930621186.2732,1,881,1,101,0,1,1,0,0.03305785123966942,0.0,0.02702702702702703,0.0
archive.org,0,19,0,0,1,0,0,0,1,8,941722624600.811,1,118,0,0,0,0,0,1,0.0,0.0,0.0,0.0
aruba.it,0,16,0,0,1,0,0,0,1,5,816115034501.089,1,590,0,0,1,1,1,0,0.020833333333333332,0.05654761904761905,0.02564102564102564,0.0
arxiv.org,0,17,0,0,1,0,0,0,1,8,845818639078.591,4,296,0,0,0,1,1,1,0.011494252873563218,0.0038314176245210726,0.1,0.0
as.com,0,14,0,0,1,0,0,0,1,6,879428243029.0441,2,16,2,16,0,1,1,0,0.03116883116883117,0.0,0.0,0.0
asahi.com,0,17,0,0,1,0,0,0,1,6,953649449798.3561,1,13,0,0,1,1,0,0,0.005154639175257732,0.002577319587628866,0.013333333333333334,0.0
asus.com,0,16,0,0,1,0,0,0,1,7,946046255828.0669,1,86394,0,0,1,1,0,0,0.038461538461538464,0.0,0.0,0.0
automattic.com,0,22,0,0,1,0,0,0,1,7,673020094612.877,2,296,0,0,0,1,1,1,0.08620689655172414,0.017241379310344827,0.0,0.0
bandcamp.com,0,20,0,0,1,0,0,0,1,7,705283276047.883,4,77046,0,0,0,1,1,0,0.01904761904761905,0.009523809523809525,0.043478260869565216,0.0
barnesandnoble.com,0,26,0,0,1,0,0,0,1,7,952612685345.883,1,296,0,0,1,1,1,0,0.2086677367576244,0.2086677367576244,0.0,0.0
bbc.co.uk,0,17,0,0,2,0,0,0,1,8,921782289621.047,4,296,4,296,0,1,1,0,0.0213903743315508,0.0213903743315508,0.043478260869565216,0.0
bbc.com,0,15,0,0,1,0,0,0,1,8,1144161505104.4468,4,33,4,104,0,1,1,0,0.01702127659574468,0.00425531914893617,0.03571428571428571,0.0
behance.net,0,19,0,0,1,0,0,0,1,8,629333578048.7649,4,292,0,0,0,0,0,0,0.0,0.0,0.0,0.0
bfmtv.com,0,17,0,0,1,0,0,0,1,6,660102970712.2579,3,54,0,0,0,1,1,1,0.021791767554479417,0.0,0.017857142857142856,0.0
bing.com,0,16,0,0,1,0,0,0,1,8,937748310517.364,2,3487,2,2094,0,1,0,0,1.0,0.0,0.0,0.0
bit.ly,0,14,0,0,1,0,0,0,1,9,549578316408.53503,2,89,0,0,0,1,0,0,0.05102040816326531,0.05102040816326531,0.018867924528301886,0.009433962264150943
blackberry.com,0,22,0,0,1,0,0,0,1,6,970061923583.187,1,23,0,0,1,1,0,1,0.057971014492753624,0.014492753623188406,0.06666666666666667,0.0
booking.com,0,19,0,0,1,0,0,0,1,8,867854334375.252,4,47,0,0,1,1,0,0,0.013392857142857142,0.017857142857142856,0.03773584905660377,0.0
books.google.com,0,24,0,0,2,0,0,0,1,7,886343939884.7529,1,295,1,295,0,1,0,1,0.07692307692307693,0.0,0.0,0.0
britannica.com,0,22,0,0,1,0,0,0,1,7,957537550713.354,2,52,0,0,1,1,1,0,0.015384615384615385,0.0,0.06666666666666667,0.0
business.google.com,0,27,0,0,2,0,0,0,1,7,886343956150.9989,1,295,1,217,0,1,1,0,0.06976744186046512,0.023255813953488372,0.5,0.0
businessinsider.com,0,27,0,0,1,0,0,0,1,8,871479560942.7871,4,14396,0,0,1,1,1,1,0.01809954751131222,0.03167420814479638,0.14285714285714285,0.0
buzzfeed.com,0,20,0,0,1,0,0,0,1,7,731894335897.234,4,296,0,0,1,1,0,0,0.04827586206896552,0.006896551724137931,0.0,0.0
ca.gov,0,14,0,0,1,0,0,0,1,6,884884210922.525,2,55,2,51,0,1,1,1,0.03571428571428571,0.10714285714285714,0.2,0.0
calameo.com,0,19,0,0,1,0,0,0,1,6,577605909139.25,1,293,0,0,1,1,1,0,0.07142857142857142,0.07142857142857142,0.06896551724137931,0.06896551724137931
canada.ca,0,17,0,0,1,0,0,0,1,7,722384582068.767,4,292,0,0,0,1,1,1,0.25,0.0,0.0,0.0
cbc.ca,0,14,0,0,1,0,0,0,1,7,788935429968.7589,1,16,0,0,0,1,1,1,0.10784313725490197,0.0392156862745098,0.05405405405405406,0.0
cbslocal.com,0,20,0,0,1,0,0,0,1,4,635385502066.383,4,295,0,0,0,1,1,0,0.014778325123152709,0.034482758620689655,0.05,0.05
cbsnews.com,0,19,0,0,1,0,0,0,1,7,979396804277.9451,4,56,0,0,1,1,0,0,0.020477815699658702,0.023890784982935155,0.045454545454545456,0.045454545454545456
cdc.gov,0,15,0,0,1,0,0,0,1,8,884884248617.942,2,14,2,15,0,1,0,1,0.03474903474903475,0.06177606177606178,0.0380952380952381,0.09523809523809523
change.org,0,18,0,0,1,0,0,0,1,7,970234817297.467,2,293,0,0,0,1,1,0,0.043010752688172046,0.0,0.027777777777777776,0.0
chaturbate.com,0,22,0,0,1,0,0,0,1,5,461948963033.183,2,296,2,48,0,1,1,0,0.5844155844155844,0.025974025974025976,0.0,0.0
clarin.com,0,18,0,0,1,0,0,0,1,6,952094425751.358,2,296,2,296,1,1,1,0,0.01567398119122257,0.0,0.045454545454545456,0.0
cloudflare.com,0,22,0,0,1,0,0,0,1,9,525731555286.15497,2,182,2,294,0,1,1,0,0.014184397163120567,0.0,0.029411764705882353,0.0
cnbc.com,0,16,0,0,1,0,0,0,1,8,885048036233.585,3,47,0,0,0,1,0,0,0.022058823529411766,0.007352941176470588,0.05555555555555555,0.0
cnet.com,0,16,0,0,1,0,0,0,1,7,997796440867.488,2,296,0,0,0,1,1,0,0.010825439783491205,0.0040595399188092015,0.012345679012345678,0.006172839506172839
cnil.fr,0,15,0,0,1,0,0,0,1,6,882560445086.524,2,296,2,296,0,1,1,1,0.026143790849673203,0.006535947712418301,0.04,0.0
cnn.com,0,15,0,0,1,0,0,0,1,8,1011969649414.132,4,55,8,126,0,1,0,0,0.018867924528301886,0.018867924528301886,0.033783783783783786,0.033783783783783786
code.google.com,0,23,0,0,2,0,0,0,1,8,886344056347.295,1,294,1,294,0,1,0,0,0.25,0.0,0.5,0.0
cornell.edu,0,19,0,0,1,0,0,0,1,6,1270406484017.945,6,86394,0,0,1,1,1,0,0.026143790849673203,0.032679738562091505,0.08823529411764706,0.08823529411764706
correios.com.br,0,23,0,0,2,0,0,0,1,6,882470473426.319,1,23,0,0,1,1,0,0,0.03755868544600939,0.03755868544600939,0.0,0.0
corriere.it,0,19,0,0,1,0,0,0,1,6,937766479909.531,1,295,0,0,1,1,0,0,0.013828867761452032,0.001728608470181504,0.03571428571428571,0.0
cpanel.com,0,18,0,0,1,0,0,0,1,5,808531537061.001,2,286,2,286,0,1,0,0,0.05263157894736842,0.021052631578947368,0.03636363636363636,0.0
cpanel.net,0,18,0,0,1,0,0,0,1,6,786648566037.902,2,269,0,0,0,1,0,0,0.05263157894736842,0.021052631578947368,0.03636363636363636,0.0
creativecommons.org,0,27,0,0,1,0,0,0,1,9,781062614145.7,2,295,2,295,1,1,1,1,0.057971014492753624,0.014492753623188406,0.0,0.0
cutt.ly,0,15,0,0,1,0,0,0,1,7,244759339772.899,2,296,2,296,0,1,1,1,0.11290322580645161,0.10483870967741936,0.058823529411764705,0.029411764705882353
dailymotion.com,0,23,0,0,1,0,0,0,1,7,649714400737.913,1,85012,0,0,0,1,1,1,0.025477707006369428,0.006369426751592357,0.0,0.0
dailystar.co.uk,0,23,0,0,2,0,0,0,1,6,921782565496.7579,2,54,0,0,0,1,0,1,0.031914893617021274,0.0035460992907801418,1.0,0.0
de.wikipedia.org,0,24,0,0,2,0,0,0,1,8,781295434408.555,1,143,1,24,0,1,1,1,0.03515625,0.09375,0.07142857142857142,0.0
deezer.com,0,18,0,0,1,0,0,0,1,8,685235118167.621,4,27,0,0,1,1,0,0,0.09722222222222222,0.0,0.02127659574468085,0.0
developers.google.com,0,29,0,0,2,0,0,0,1,9,886344183759.267,1,135,1,174,0,1,1,1,0.25,0.011363636363636364,0.0,0.0
discord.com,0,19,0,0,1,0,0,0,1,8,787129066909.233,5,160,0,0,0,1,1,0,0.032520325203252036,0.032520325203252036,0.0,0.0
discord.gg,0,18,0,0,1,0,0,0,1,8,335649041237.434,5,255,0,0,0,1,1,0,0.032520325203252036,0.032520325203252036,0.0,0.0
disqus.com,0,18,0,0,1,0,0,0,1,7,595165242861.24,4,2485,0,0,1,0,0,0,0.0,0.0,0.0,0.0
docs.google.com,0,23,0,0,2,0,0,0,1,9,886344202904.453,1,251,1,169,0,1,1,0,0.16666666666666666,0.0,0.3333333333333333,0.0
doi.org,0,15,0,0,1,0,0,0,1,8,843918206434.3981,3,296,3,296,0,1,1,1,0.1,0.0,0.16666666666666666,0.0
doubleclick.net,0,23,0,0,1,0,0,0,1,5,938871812104.888,1,296,1,124,1,1,1,0,0.058823529411764705,0.0,0.06451612903225806,0.0
dovendi.com,0,19,0,0,1,0,0,0,1,2,92035390644.09099,1,3594,1,3594,0,1,1,1,0.08333333333333333,0.0,0.03571428571428571,0.0
draft.blogger.com,0,25,0,0,2,0,0,0,1,6,830566744740.4409,1,53,1,230,0,1,1,1,0.1875,0.125,0.1111111111111111,0.0
dreamstime.com,0,22,0,0,1,0,0,0,1,6,799875075870.8611,1,771,0,0,0,0,0,0,0.0,0.0,0.0,0.0
dribbble.com,0,20,0,0,1,0,0,0,1,7,554688047393.778,4,3595,8,182,0,1,1,0,0.19576719576719576,0.026455026455026454,0.0,0.0
drive.google.com,0,24,0,0,2,0,0,0,1,10,886344239379.2681,1,147,1,209,0,1,1,0,0.16666666666666666,0.0,0.3333333333333333,0.0
dropbox.com,0,19,0,0,1,0,0,0,1,8,956328245583.418,1,27,1,44,0,1,1,0,0.031746031746031744,0.015873015873015872,0.038461538461538464,0.019230769230769232
dropcatch.com,0,21,0,0,1,0,0,0,1,4,695780408576.894,2,295,2,295,0,0,0,1,0.0,0.0,0.0,0.0
dw.com,0,14,0,0,1,0,0,0,1,7,973863856618.814,2,294,0,0,0,0,0,1,0.0,0.0,0.0,0.0
ea.com,0,14,0,0,1,0,0,0,1,6,1025880261049.161,1,16,2,16,0,1,0,1,0.023809523809523808,0.0,0.04,0.0
ebay.co.uk,0,18,0,0,2,0,0,0,1,6,854909065861.055,2,15,0,0,0,1,0,0,0.03529411764705882,0.011764705882352941,0.2,0.0
ebay.com,0,16,0,0,1,0,0,0,1,7,953131470799.148,2,4,0,0,1,1,0,0,0.044534412955465584,0.008097165991902834,0.2,0.0
ehow.com,0,16,0,0,1,0,0,0,1,6,849447877465.292,2,295,2,295,0,1,1,0,0.012345679012345678,0.0,0.1,0.0
elpais.com,0,18,0,0,1,0,0,0,1,7,776848333189.6599,2,16,2,16,0,1,1,0,0.028446389496717725,0.002188183807439825,0.08333333333333333,0.0
en.wikipedia.org,0,24,0,0,2,0,0,0,1,9,781295557105.749,1,71,1,53,0,1,1,1,0.013392857142857142,0.01488095238095238,0.13333333333333333,0.0
enable-javascript.com,0,29,0,0,1,1,0,0,1,6,507589775334.50104,1,295,0,0,0,1,1,0,0.2553191489361702,0.3191489361702128,0.0,0.0
engadget.com,0,20,0,0,1,0,0,0,1,7,685758706379.879,2,295,0,0,0,1,1,0,0.031578947368421054,0.0,0.043478260869565216,0.0
eonline.com,0,19,0,0,1,0,0,0,1,6,950712307513.8169,2,16,0,0,0,1,1,1,0.05,0.0,0.04,0.0
es.wikipedia.org,0,24,0,0,2,0,0,0,1,7,781295577161.733,1,52,1,63,0,1,1,1,0.023076923076923078,0.02564102564102564,0.07142857142857142,0.0
espn.com,0,16,0,0,1,0,0,0,1,7,979397115147.557,4,56,8,56,0,1,1,0,0.03763440860215054,0.03763440860215054,1.0,1.0
estadao.com.br,0,22,0,0,2,0,0,0,1,6,889296317963.068,2,17,0,0,1,1,0,1,0.009652509652509652,0.0,0.06060606060606061,0.0
eventbrite.com,0,22,0,0,1,0,0,0,1,8,622411644143.356,4,55,0,0,0,1,0,0,0.022727272727272728,0.011363636363636364,0.03571428571428571,0.03571428571428571
example.com,0,19,0,0,1,0,0,0,1,7,952267533503.0499,6,181,6,78,0,1,0,0,1.0,0.0,0.0,0.0
express.co.uk,0,21,0,0,2,0,0,0,1,6,921782741551.4601,4,53,8,53,1,1,1,0,0.01,0.0,0.015384615384615385,0.0
facebook.com,0,20,0,0,1,0,0,0,1,10,901028745328.388,1,26,1,12,0,1,1,0,0.047619047619047616,0.047619047619047616,0.0,0.0
fandom.com,0,18,0,0,1,0,0,0,1,6,915633969071.981,2,54,0,0,1,1,0,0,0.03773584905660377,0.0,0.06896551724137931,0.0
fb.com,0,14,0,0,1,0,0,0,1,7,1117291578101.9531,1,51,1,51,0,1,1,0,0.047619047619047616,0.047619047619047616,0.0,0.0
fda.gov,0,15,0,0,1,0,0,0,1,7,795990041316.002,2,14,2,14,1,1,1,0,0.017391304347826087,0.043478260869565216,0.02857142857142857,0.0
feedburner.com,0,22,0,0,1,0,0,0,1,6,690294968569.25,1,293,1,293,0,0,0,0,0.0,0.0,0.0,0.0
fifa.com,0,16,0,0,1,0,0,0,1,6,952699580920.959,2,293,2,293,0,0,0,1,0.0,0.0,0.0,0.0
files.wordpress.com,0,27,0,0,2,0,0,0,1,4,808554808748.805,1,288,0,0,0,1,0,0,0.01910828025477707,0.006369426751592357,0.5,0.0
finance.yahoo.com,0,25,0,0,2,0,0,0,1,7,970235201065.431,4,30,4,21,0,1,1,1,0.0075,0.005,0.037037037037037035,0.0
firefox.com,0,19,0,0,1,0,0,0,1,6,852994005274.32,1,597,0,0,0,1,1,0,0.02112676056338028,0.007042253521126761,0.03225806451612903,0.0
forbes.com,0,18,0,0,1,0,0,0,1,8,1020350813294.48,4,86397,0,0,0,1,0,0,0.011306532663316583,0.002512562814070352,0.017543859649122806,0.017543859649122806
fortune.com,0,19,0,0,1,0,0,0,1,7,990110820313.962,4,53,0,0,1,1,1,1,0.03867403314917127,0.0055248618784530384,0.05357142857142857,0.0
foxnews.com,0,19,0,0,1,0,0,0,1,7,956933245456.684,1,3593,0,0,0,1,0,0,0.007709251101321586,0.005506607929515419,1.0,0.0
fr.wikipedia.org,0,24,0,0,2,0,0,0,1,8,781295697113.155,1,118,1,67,0,1,1,1,0.01483679525222552,0.01483679525222552,0.058823529411764705,0.0
francetvinfo.fr,0,23,0,0,1,0,0,0,1,6,540962629096.87805,1,86391,0,0,0,1,1,0,0.08208955223880597,0.08955223880597014,0.041666666666666664,0.0
frontiersin.org,0,23,0,0,1,0,0,0,1,7,620958473863.7789,1,292,0,0,1,1,1,1,0.046296296296296294,0.009259259259259259,0.041666666666666664,0.0
ft.com,0,14,0,0,1,0,0,0,1,7,974468855888.776,4,3594,0,0,1,1,1,0,0.014760147601476014,0.012915129151291513,0.02631578947368421,0.0
g.co,0,12,0,0,1,0,0,0,1,8,488372227324.301,1,243,1,207,0,1,0,0,0.6666666666666666,0.0,0.0,0.0
get.google.com,0,22,0,0,2,0,0,0,1,6,886344490470.539,1,292,1,85,0,1,1,0,0.06896551724137931,0.0,0.0,0.0
getbootstrap.com,0,24,0,0,1,0,0,0,1,6,434408746460.874,2,71,2,292,0,1,1,1,0.046511627906976744,0.011627906976744186,0.07692307692307693,0.0
github.com,0,18,0,0,1,0,0,0,1,10,568686435919.146,1,53,0,0,0,1,1,0,0.05555555555555555,0.013888888888888888,0.09259259259259259,0.0
gizmodo.com,0,19,0,0,1,0,0,0,1,7,735097861764.474,3,295,3,294,0,1,1,1,0.01858736059479554,0.022304832713754646,0.1111111111111111,0.1111111111111111
globo.com,0,17,0,0,1,0,0,0,1,6,846424095372.508,1,3492,0,0,1,1,0,0,0.007874015748031496,0.005249343832020997,0.14285714285714285,0.0
gmail.com,0,17,0,0,1,0,0,0,1,8,952354105304.759,1,47,1,34,0,1,1,0,0.16666666666666666,0.0,0.3333333333333333,0.0
gnu.org,0,15,0,0,1,0,0,0,1,7,943451313307.5431,1,1793,1,1793,0,1,1,1,0.017699115044247787,0.07964601769911504,0.0,0.0
gofundme.com,0,20,0,0,1,0,0,0,1,7,496521225642.596,4,56,0,0,0,1,1,0,0.04672897196261682,0.009345794392523364,0.020833333333333332,0.0
goodreads.com,0,21,0,0,1,0,0,0,1,8,721206788833.894,3,55,0,0,0,1,1,0,0.022388059701492536,0.007462686567164179,0.058823529411764705,0.0
google.ca,0,17,0,0,1,0,0,0,1,7,790014449933.514,1,297,1,297,0,1,1,0,0.06896551724137931,0.0,0.0,0.0
google.co.in,0,20,0,0,2,0,0,0,1,7,704263596313.9419,1,296,1,296,0,1,1,0,0.06896551724137931,0.0,0.0,0.0
google.co.jp,0,20,0,0,2,0,0,0,1,7,775421354703.722,1,296,1,296,0,1,1,0,0.06896551724137931,0.0,0.0,0.0
google.co.uk,0,20,0,0,2,0,0,0,1,7,841690175622.137,1,162,1,280,0,1,1,0,0.06896551724137931,0.0,0.0,0.0
google.com.br,0,21,0,0,2,0,0,0,1,7,833654961010.739,1,21,1,165,0,1,1,0,0.06896551724137931,0.0,0.0,0.0
google.fr,0,17,0,0,1,0,0,0,1,7,795991771623.2001,1,296,1,296,0,1,1,0,0.06896551724137931,0.0,0.0,0.0
google.it,0,17,0,0,1,0,0,0,1,7,815856575352.7451,1,297,1,297,0,1,1,0,0.06896551724137931,0.0,0.0,0.0
google.nl,0,17,0,0,1,0,0,0,1,7,832877379485.2839,1,296,1,296,0,1,1,0,0.06896551724137931,0.0,0.0,0.0
google.pl,0,17,0,0,1,0,0,0,1,6,728200184637.927,1,295,1,295,0,1,1,0,0.06896551724137931,0.0,0.0,0.0
google.ru,0,17,0,0,1,0,0,0,1,7,682293017550.737,1,285,1,285,0,1,1,0,0.06896551724137931,0.0,0.0,0.0
googleblog.com,0,22,0,0,1,0,0,0,1,4,735317288148.978,1,293,1,293,1,1,1,0,0.01694915254237288,0.00423728813559322,0.08333333333333333,0.0
gravatar.com,0,20,0,0,1,0,0,0,1,7,670715544458.7839,4,55,0,0,0,1,1,1,0.1282051282051282,0.02564102564102564,0.10526315789473684,0.05263157894736842
greenpeace.org,0,22,0,0,1,0,0,0,1,7,1052059817015.407,1,596,0,0,1,1,0,1,0.5,0.5,0.0,0.0
groups.google.com,0,25,0,0,2,0,0,0,1,8,886344622108.688,4,120,4,208,0,1,1,0,0.16666666666666666,0.0,0.3333333333333333,0.0
guardian.co.uk,0,22,0,0,2,0,0,0,1,6,921783045935.648,4,3594,0,0,0,1,1,0,0.012048192771084338,0.009036144578313253,0.0,0.0
harvard.edu,0,19,0,0,1,0,0,0,1,6,1271962232224.955,1,297,0,0,1,1,0,0,0.01744186046511628,0.005813953488372093,0.06666666666666667,0.0
hatena.ne.jp,0,20,0,0,2,0,0,0,1,5,365539839118.639,2,53,0,0,1,1,0,1,0.0925,0.0,0.05555555555555555,0.0
hindustantimes.com,0,26,0,0,1,0,0,0,1,6,920645448968.39,1,13,0,0,1,1,0,0,0.03038309114927345,0.031704095112285335,0.011494252873563218,0.0
hm.com,0,14,0,0,1,0,0,0,1,6,881157053588.856,1,15,2,15,0,1,1,1,0.010309278350515464,0.010309278350515464,0.0,0.0
hollywoodreporter.com,0,29,0,0,1,0,0,0,1,7,954082258169.022,1,296,0,0,1,1,0,0,0.017721518987341773,0.015189873417721518,0.047619047619047616,0.023809523809523808
home.pl,0,15,0,0,1,0,0,0,1,5,879317462277.875,1,3597,0,0,0,1,1,1,0.04609929078014184,0.0,0.041666666666666664,0.0
hotmart.com,0,19,0,0,1,0,0,0,1,6,620263864962.548,4,55,0,0,1,1,1,1,0.07936507936507936,0.047619047619047616,0.05555555555555555,0.027777777777777776
house.gov,0,17,0,0,1,0,0,0,1,6,884884911826.25,2,3592,0,0,1,1,1,1,0.014492753623188406,0.03864734299516908,0.1,0.0
hp.com,0,14,0,0,1,0,0,0,1,6,1250430685783.241,4,12,0,0,1,1,0,1,0.04433497536945813,0.04433497536945813,0.0,0.0
huawei.com,0,18,0,0,1,0,0,0,1,6,813042848800.532,1,593,1,593,0,1,1,1,0.09482758620689655,0.021551724137931036,0.05555555555555555,0.027777777777777776
hubspot.com,0,19,0,0,1,0,0,0,1,7,652920550002.005,2,295,2,295,0,1,0,0,0.01694915254237288,0.00423728813559322,0.016129032258064516,0.0
huffingtonpost.com,0,26,0,0,1,0,0,0,1,7,650166293423.396,4,292,0,0,0,1,0,1,0.00964630225080386,0.003215434083601286,0.047619047619047616,0.0
huffpost.com,0,20,0,0,1,0,0,0,1,7,650166289174.4979,4,287,0,0,0,1,0,1,0.00964630225080386,0.003215434083601286,0.047619047619047616,0.0
ibm.com,0,15,0,0,1,0,0,0,1,8,1249048331141.33,1,17,2,20,1,1,0,0,0.02631578947368421,0.0,0.0,0.0
id.wikipedia.org,0,24,0,0,2,0,0,0,1,6,781296010130.4291,1,140,1,160,0,1,1,1,0.0136986301369863,0.015220700152207,0.08333333333333333,0.0
ig.com.br,0,17,0,0,2,0,0,0,1,4,866314371068.251,1,290,0,0,1,1,0,0,0.007575757575757576,0.0025252525252525255,0.0,0.0
ign.com,0,15,0,0,1,0,0,0,1,7,859301580597.6539,4,3591,0,0,0,1,0,0,0.03225806451612903,0.0,0.5,0.0
ikea.com,0,16,0,0,1,0,0,0,1,7,953650385378.958,2,174,2,61,0,1,0,0,0.012345679012345678,0.006172839506172839,0.1,0.0
imageshack.us,0,21,0,0,1,0,0,0,1,6,691963126344.39,2,293,0,0,1,1,1,1,0.125,0.0625,0.0,0.0
imdb.com,0,16,0,0,1,0,0,0,1,8,939822788283.682,3,889,0,0,0,1,1,0,0.01652892561983471,0.0,0.07692307692307693,0.0
indiatimes.com,0,22,0,0,1,0,0,0,1,6,912002018226.486,1,1,2,1,0,1,0,0,0.038461538461538464,0.0,0.047619047619047616,0.0
insider.com,0,19,0,0,1,0,0,0,1,6,895071225833.651,4,3593,0,0,1,1,1,1,0.01809954751131222,0.03167420814479638,0.14285714285714285,0.0
instagram.com,0,21,0,0,1,0,0,0,1,10,674284614645.6229,1,9,1,33,0,0,0,0,0.0,0.0,0.0,0.0
instructables.com,0,25,0,0,1,0,0,0,1,7,641239387983.9031,4,894,0,0,0,1,1,1,0.05,0.0,0.05,0.0
intel.com,0,17,0,0,1,0,0,0,1,7,1248530051110.648,1,290,0,0,0,1,1,1,0.045454545454545456,0.015151515151515152,0.043478260869565216,0.0
interia.pl,0,18,0,0,1,0,0,0,1,5,821339658291.4979,2,3594,0,0,1,1,0,0,0.03551401869158879,0.014953271028037384,0.07142857142857142,0.0
ipv4.google.com,0,23,0,0,2,0,0,0,1,5,886344866225.9341,1,293,0,0,0,1,1,0,0.06896551724137931,0.0,0.0,0.0
issuu.com,0,17,0,0,1,0,0,0,1,8,583643683406.3899,4,3593,0,0,0,1,1,1,0.03305785123966942,0.0,0.04,0.0
istockphoto.com,0,23,0,0,1,0,0,0,1,7,813496881420.1649,4,54,0,0,1,1,1,1,0.5,0.0,0.0,0.0
it.wikipedia.org,0,24,0,0,2,0,0,0,1,7,781296171192.3309,1,3,1,151,0,1,1,1,0.017374517374517374,0.019305019305019305,0.08333333333333333,0.0
itch.io,0,15,0,0,1,0,0,0,1,6,440881174585.469,3,294,3,294,0,1,1,1,0.013513513513513514,0.002702702702702703,0.0,0.0
ja.wikipedia.org,0,24,0,0,2,0,0,0,1,7,781296169215.317,1,165,1,171,0,1,1,1,0.022556390977443608,0.02506265664160401,0.07142857142857142,0.0
jotform.com,0,19,0,0,1,0,0,0,1,7,629063005695.8931,2,285,2,285,1,1,1,0,0.012345679012345678,0.0,0.015625,0.0
