url,label,A1,A2,A3,A4,A5,A6,A7,A8,A17,A25,A18,A19,A21,A23,A22,A24
arxiv.org,0,17,0,0,1,0,0,0,1,0,1,1,1,0.011494252873563218,0.0038314176245210726,0.1,0.0
as.com,0,14,0,0,1,0,0,0,1,0,1,1,0,0.031007751937984496,0.0,0.0,0.0
asahi.com,0,17,0,0,1,0,0,0,1,1,1,0,0,0.005154639175257732,0.002577319587628866,0.013333333333333334,0.0
asus.com,0,16,0,0,1,0,0,0,1,1,1,0,0,0.038461538461538464,0.0,0.0,0.0
automattic.com,0,22,0,0,1,0,0,0,1,0,1,1,1,0.08620689655172414,0.017241379310344827,0.0,0.0
bandcamp.com,0,20,0,0,1,0,0,0,1,0,1,1,0,0.01904761904761905,0.009523809523809525,0.043478260869565216,0.0
barnesandnoble.com,0,26,0,0,1,0,0,0,1,1,1,1,0,0.2086677367576244,0.2086677367576244,0.0,0.0
bbc.co.uk,0,17,0,0,2,0,0,0,1,0,1,1,0,0.0213903743315508,0.0213903743315508,0.043478260869565216,0.0
bbc.com,0,15,0,0,1,0,0,0,1,0,1,1,0,0.01702127659574468,0.00425531914893617,0.03571428571428571,0.0
behance.net,0,19,0,0,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0
bfmtv.com,0,17,0,0,1,0,0,0,1,0,1,1,1,0.021791767554479417,0.0,0.017857142857142856,0.0
bild.de,0,15,0,0,1,0,0,0,1,0,1,0,0,0.008174386920980926,0.004087193460490463,0.1111111111111111,0.1111111111111111
bing.com,0,16,0,0,1,0,0,0,1,0,1,0,0,1.0,0.0,0.0,0.0
bit.ly,0,14,0,0,1,0,0,0,1,0,1,0,0,0.05102040816326531,0.05102040816326531,0.018867924528301886,0.009433962264150943
blackberry.com,0,22,0,0,1,0,0,0,1,1,1,0,1,0.057971014492753624,0.014492753623188406,0.06666666666666667,0.0
booking.com,0,19,0,0,1,0,0,0,1,1,1,0,0,0.013392857142857142,0.017857142857142856,0.03773584905660377,0.0
books.google.com,0,24,0,0,2,0,0,0,1,0,1,0,1,0.07692307692307693,0.0,0.0,0.0
britannica.com,0,22,0,0,1,0,0,0,1,1,1,1,0,0.01532567049808429,0.0038314176245210726,0.06451612903225806,0.03225806451612903
business.google.com,0,27,0,0,2,0,0,0,1,0,1,1,0,0.06976744186046512,0.023255813953488372,0.5,0.0
businessinsider.com,0,27,0,0,1,0,0,0,1,1,1,1,1,0.01809954751131222,0.03167420814479638,0.14285714285714285,0.0
buzzfeed.com,0,20,0,0,1,0,0,0,1,1,1,0,0,0.04861111111111111,0.006944444444444444,0.0,0.0
ca.gov,0,14,0,0,1,0,0,0,1,0,1,1,1,0.03571428571428571,0.10714285714285714,0.2,0.0
calameo.com,0,19,0,0,1,0,0,0,1,1,1,1,0,0.07142857142857142,0.07142857142857142,0.06896551724137931,0.06896551724137931
canada.ca,0,17,0,0,1,0,0,0,1,0,1,1,1,0.25,0.0,0.0,0.0
cbc.ca,0,14,0,0,1,0,0,0,1,0,1,1,1,0.10784313725490197,0.0392156862745098,0.05405405405405406,0.0
cbslocal.com,0,20,0,0,1,0,0,0,1,0,1,1,0,0.014778325123152709,0.034482758620689655,0.05,0.05
cbsnews.com,0,19,0,0,1,0,0,0,1,1,1,0,0,0.020477815699658702,0.023890784982935155,0.045454545454545456,0.045454545454545456
cdc.gov,0,15,0,0,1,0,0,0,1,0,1,0,1,0.03474903474903475,0.06177606177606178,0.0380952380952381,0.09523809523809523
change.org,0,18,0,0,1,0,0,0,1,0,1,1,0,0.043010752688172046,0.0,0.027777777777777776,0.0
chaturbate.com,0,22,0,0,1,0,0,0,1,0,1,1,0,0.5844155844155844,0.025974025974025976,0.0,0.0
clarin.com,0,18,0,0,1,0,0,0,1,1,1,1,0,0.015723270440251572,0.0,0.045454545454545456,0.0
cloudflare.com,0,22,0,0,1,0,0,0,1,0,1,1,0,0.014234875444839857,0.0,0.029411764705882353,0.0
cnbc.com,0,16,0,0,1,0,0,0,1,0,1,0,0,0.013605442176870748,0.006802721088435374,0.05555555555555555,0.0
cnet.com,0,16,0,0,1,0,0,0,1,0,1,1,0,0.010825439783491205,0.0040595399188092015,0.012345679012345678,0.006172839506172839
cnil.fr,0,15,0,0,1,0,0,0,1,0,1,1,1,0.026143790849673203,0.006535947712418301,0.04,0.0
cnn.com,0,15,0,0,1,0,0,0,1,0,1,0,0,0.018867924528301886,0.018867924528301886,0.033783783783783786,0.033783783783783786
code.google.com,0,23,0,0,2,0,0,0,1,0,1,0,0,0.25,0.0,0.5,0.0
cornell.edu,0,19,0,0,1,0,0,0,1,1,1,1,0,0.026143790849673203,0.032679738562091505,0.08823529411764706,0.08823529411764706
correios.com.br,0,23,0,0,2,0,0,0,1,1,1,0,0,0.03755868544600939,0.03755868544600939,0.0,0.0
corriere.it,0,19,0,0,1,0,0,0,1,0,1,0,0,0.013146362839614373,0.0017528483786152498,0.03571428571428571,0.0
cpanel.com,0,18,0,0,1,0,0,0,1,0,1,0,0,0.05263157894736842,0.021052631578947368,0.03636363636363636,0.0
cpanel.net,0,18,0,0,1,0,0,0,1,0,1,0,0,0.05263157894736842,0.021052631578947368,0.03636363636363636,0.0
creativecommons.org,0,27,0,0,1,0,0,0,1,1,1,1,1,0.057971014492753624,0.014492753623188406,0.0,0.0
cutt.ly,0,15,0,0,1,0,0,0,1,0,1,1,1,0.11290322580645161,0.10483870967741936,0.058823529411764705,0.029411764705882353
dailymail.co.uk,0,23,0,0,2,0,0,0,1,1,1,1,0,0.1070615034168565,0.10858010630220197,0.0,0.0
dailymotion.com,0,23,0,0,1,0,0,0,1,0,1,1,1,0.025477707006369428,0.006369426751592357,0.0,0.0
dailystar.co.uk,0,23,0,0,2,0,0,0,1,0,1,0,1,0.028268551236749116,0.0035335689045936395,1.0,0.0
de.wikipedia.org,0,24,0,0,2,0,0,0,1,0,1,1,1,0.03515625,0.09375,0.07142857142857142,0.0
deezer.com,0,18,0,0,1,0,0,0,1,1,1,0,0,0.09722222222222222,0.0,0.02127659574468085,0.0
detik.com,0,17,0,0,1,0,0,0,1,1,1,0,0,0.012861736334405145,0.012861736334405145,0.019230769230769232,0.0
developers.google.com,0,29,0,0,2,0,0,0,1,0,1,1,1,0.25,0.011363636363636364,0.0,0.0
discord.com,0,19,0,0,1,0,0,0,1,0,1,1,0,0.032520325203252036,0.032520325203252036,0.0,0.0
discord.gg,0,18,0,0,1,0,0,0,1,0,1,1,0,0.032520325203252036,0.032520325203252036,0.0,0.0
disqus.com,0,18,0,0,1,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0
docs.google.com,0,23,0,0,2,0,0,0,1,0,1,1,0,0.16666666666666666,0.0,0.3333333333333333,0.0
doi.org,0,15,0,0,1,0,0,0,1,0,1,1,1,0.1,0.0,0.16666666666666666,0.0
doubleclick.net,0,23,0,0,1,0,0,0,1,1,1,1,0,0.058823529411764705,0.0,0.06451612903225806,0.0
dovendi.com,0,19,0,0,1,0,0,0,1,0,1,1,1,0.08333333333333333,0.0,0.03571428571428571,0.0
draft.blogger.com,0,25,0,0,2,0,0,0,1,0,1,1,1,0.1875,0.125,0.1111111111111111,0.0
dreamstime.com,0,22,0,0,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0
dribbble.com,0,20,0,0,1,0,0,0,1,0,1,1,0,0.1962864721485411,0.026525198938992044,0.0,0.0
drive.google.com,0,24,0,0,2,0,0,0,1,0,1,1,0,0.16666666666666666,0.0,0.3333333333333333,0.0
dropbox.com,0,19,0,0,1,0,0,0,1,0,1,1,0,0.031746031746031744,0.015873015873015872,0.038461538461538464,0.019230769230769232
dropcatch.com,0,21,0,0,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0
dw.com,0,14,0,0,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0
ea.com,0,14,0,0,1,0,0,0,1,0,1,0,1,0.023809523809523808,0.0,0.04,0.0
ebay.co.uk,0,18,0,0,2,0,0,0,1,0,1,0,0,0.03571428571428571,0.011904761904761904,0.2,0.0
ebay.com,0,16,0,0,1,0,0,0,1,1,1,0,0,0.045081967213114756,0.00819672131147541,0.2,0.0
ehow.com,0,16,0,0,1,0,0,0,1,0,1,1,0,0.012345679012345678,0.0,0.1,0.0
elmundo.es,0,18,0,0,1,0,0,0,1,0,1,0,0,0.015521064301552107,0.015521064301552107,0.1111111111111111,0.1111111111111111
elpais.com,0,18,0,0,1,0,0,0,1,0,1,1,0,0.028384279475982533,0.002183406113537118,0.08333333333333333,0.0
en.wikipedia.org,0,24,0,0,2,0,0,0,1,0,1,1,1,0.013392857142857142,0.01488095238095238,0.13333333333333333,0.0
enable-javascript.com,0,29,0,0,1,1,0,0,1,0,1,1,0,0.2553191489361702,0.3191489361702128,0.0,0.0
engadget.com,0,20,0,0,1,0,0,0,1,0,1,1,0,0.031578947368421054,0.0,0.043478260869565216,0.0
eonline.com,0,19,0,0,1,0,0,0,1,0,1,1,1,0.05,0.0,0.04,0.0
es.wikipedia.org,0,24,0,0,2,0,0,0,1,0,1,1,1,0.023076923076923078,0.02564102564102564,0.07142857142857142,0.0
espn.com,0,16,0,0,1,0,0,0,1,0,1,1,0,0.03723404255319149,0.03723404255319149,1.0,1.0
estadao.com.br,0,22,0,0,2,0,0,0,1,1,1,0,1,0.009633911368015413,0.0,0.06060606060606061,0.0
europa.eu,0,17,0,0,1,0,0,0,1,0,1,0,1,0.03571428571428571,0.03571428571428571,0.0,0.0
eventbrite.com,0,22,0,0,1,0,0,0,1,0,1,0,0,0.022727272727272728,0.011363636363636364,0.03571428571428571,0.03571428571428571
example.com,0,19,0,0,1,0,0,0,1,0,1,0,0,1.0,0.0,0.0,0.0
express.co.uk,0,21,0,0,2,0,0,0,1,1,1,1,0,0.01,0.0,0.015384615384615385,0.0
facebook.com,0,20,0,0,1,0,0,0,1,0,1,1,0,0.047619047619047616,0.047619047619047616,0.0,0.0
fandom.com,0,18,0,0,1,0,0,0,1,1,1,0,0,0.03773584905660377,0.0,0.06896551724137931,0.0
fb.com,0,14,0,0,1,0,0,0,1,0,1,1,0,0.047619047619047616,0.047619047619047616,0.0,0.0
fda.gov,0,15,0,0,1,0,0,0,1,1,1,1,0,0.017391304347826087,0.043478260869565216,0.02857142857142857,0.0
feedburner.com,0,22,0,0,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0
fifa.com,0,16,0,0,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0
files.wordpress.com,0,27,0,0,2,0,0,0,1,0,1,0,0,0.01910828025477707,0.006369426751592357,0.5,0.0
firefox.com,0,19,0,0,1,0,0,0,1,0,1,1,0,0.02112676056338028,0.007042253521126761,0.03225806451612903,0.0
focus.de,0,16,0,0,1,0,0,0,1,0,1,1,1,0.00909090909090909,0.0036363636363636364,0.025974025974025976,0.025974025974025976
forbes.com,0,18,0,0,1,0,0,0,1,0,1,0,0,0.011306532663316583,0.002512562814070352,0.017543859649122806,0.017543859649122806
fortune.com,0,19,0,0,1,0,0,0,1,1,1,1,1,0.03867403314917127,0.0055248618784530384,0.05357142857142857,0.0
foxnews.com,0,19,0,0,1,0,0,0,1,0,1,0,0,0.007709251101321586,0.005506607929515419,1.0,0.0
fr.wikipedia.org,0,24,0,0,2,0,0,0,1,0,1,1,1,0.014814814814814815,0.014814814814814815,0.058823529411764705,0.0
francetvinfo.fr,0,23,0,0,1,0,0,0,1,1,1,1,0,0.08258258258258258,0.09009009009009009,0.041666666666666664,0.0
frontiersin.org,0,23,0,0,1,0,0,0,1,1,1,1,1,0.046296296296296294,0.009259259259259259,0.041666666666666664,0.0
ft.com,0,14,0,0,1,0,0,0,1,1,1,1,0,0.014732965009208104,0.01289134438305709,0.02631578947368421,0.0
g.co,0,12,0,0,1,0,0,0,1,0,1,0,0,0.6666666666666666,0.0,0.0,0.0
get.google.com,0,22,0,0,2,0,0,0,1,0,1,1,0,0.06896551724137931,0.0,0.0,0.0
getbootstrap.com,0,24,0,0,1,0,0,0,1,0,1,1,1,0.046511627906976744,0.011627906976744186,0.07692307692307693,0.0
github.com,0,18,0,0,1,0,0,0,1,0,1,1,0,0.05555555555555555,0.013888888888888888,0.09259259259259259,0.0
gizmodo.com,0,19,0,0,1,0,0,0,1,0,1,1,1,0.01858736059479554,0.022304832713754646,0.1111111111111111,0.1111111111111111
globo.com,0,17,0,0,1,0,0,0,1,1,1,0,0,0.007874015748031496,0.005249343832020997,0.14285714285714285,0.0
gmail.com,0,17,0,0,1,0,0,0,1,0,1,1,0,0.16666666666666666,0.0,0.3333333333333333,0.0
gnu.org,0,15,0,0,1,0,0,0,1,0,1,1,1,0.017699115044247787,0.07964601769911504,0.0,0.0
gofundme.com,0,20,0,0,1,0,0,0,1,0,1,1,0,0.04672897196261682,0.009345794392523364,0.020833333333333332,0.0
goodreads.com,0,21,0,0,1,0,0,0,1,0,1,1,0,0.022388059701492536,0.007462686567164179,0.058823529411764705,0.0
google.ca,0,17,0,0,1,0,0,0,1,0,1,1,0,0.06896551724137931,0.0,0.0,0.0
google.co.id,0,20,0,0,2,0,0,0,1,0,1,1,0,0.06896551724137931,0.0,0.0,0.0
google.co.in,0,20,0,0,2,0,0,0,1,0,1,1,0,0.06896551724137931,0.0,0.0,0.0
google.co.jp,0,20,0,0,2,0,0,0,1,0,1,1,0,0.06896551724137931,0.0,0.0,0.0
google.co.uk,0,20,0,0,2,0,0,0,1,0,1,1,0,0.06896551724137931,0.0,0.0,0.0
google.com.br,0,21,0,0,2,0,0,0,1,0,1,1,0,0.06896551724137931,0.0,0.0,0.0
google.de,0,17,0,0,1,0,0,0,1,0,1,1,0,0.06896551724137931,0.0,0.0,0.0
google.es,0,17,0,0,1,0,0,0,1,0,1,1,0,0.06896551724137931,0.0,0.0,0.0
google.fr,0,17,0,0,1,0,0,0,1,0,1,1,0,0.06896551724137931,0.0,0.0,0.0
google.it,0,17,0,0,1,0,0,0,1,0,1,1,0,0.06896551724137931,0.0,0.0,0.0
google.nl,0,17,0,0,1,0,0,0,1,0,1,1,0,0.06896551724137931,0.0,0.0,0.0
google.pl,0,17,0,0,1,0,0,0,1,0,1,1,0,0.06896551724137931,0.0,0.0,0.0
google.ru,0,17,0,0,1,0,0,0,1,0,1,1,0,0.06896551724137931,0.0,0.0,0.0
googleblog.com,0,22,0,0,1,0,0,0,1,1,1,1,0,0.01694915254237288,0.00423728813559322,0.08333333333333333,0.0
gravatar.com,0,20,0,0,1,0,0,0,1,0,1,1,1,0.1282051282051282,0.02564102564102564,0.10526315789473684,0.05263157894736842
greenpeace.org,0,22,0,0,1,0,0,0,1,1,1,0,1,0.5,0.5,0.0,0.0
groups.google.com,0,25,0,0,2,0,0,0,1,0,1,1,0,0.16666666666666666,0.0,0.3333333333333333,0.0
guardian.co.uk,0,22,0,0,2,0,0,0,1,0,1,1,0,0.012048192771084338,0.009036144578313253,0.0,0.0
harvard.edu,0,19,0,0,1,0,0,0,1,1,1,0,0,0.01744186046511628,0.005813953488372093,0.06666666666666667,0.0
hatena.ne.jp,0,20,0,0,2,0,0,0,1,1,1,0,1,0.09273182957393483,0.0,0.05555555555555555,0.0
hindustantimes.com,0,26,0,0,1,0,0,0,1,1,1,0,0,0.02987012987012987,0.03116883116883117,0.01818181818181818,0.0
hm.com,0,14,0,0,1,0,0,0,1,0,1,1,1,0.010309278350515464,0.010309278350515464,0.0,0.0
hollywoodreporter.com,0,29,0,0,1,0,0,0,1,1,1,0,0,0.017721518987341773,0.015189873417721518,0.047619047619047616,0.023809523809523808
home.pl,0,15,0,0,1,0,0,0,1,0,1,1,1,0.04609929078014184,0.0,0.041666666666666664,0.0
hotmart.com,0,19,0,0,1,0,0,0,1,1,1,1,1,0.07936507936507936,0.047619047619047616,0.05555555555555555,0.027777777777777776
house.gov,0,17,0,0,1,0,0,0,1,1,1,1,1,0.014423076923076924,0.038461538461538464,0.1,0.0
hp.com,0,14,0,0,1,0,0,0,1,1,1,0,1,0.04433497536945813,0.04433497536945813,0.0,0.0
huawei.com,0,18,0,0,1,0,0,0,1,0,1,1,1,0.09482758620689655,0.021551724137931036,0.05555555555555555,0.027777777777777776
hubspot.com,0,19,0,0,1,0,0,0,1,0,1,0,0,0.01694915254237288,0.00423728813559322,0.016129032258064516,0.0
huffingtonpost.com,0,26,0,0,1,0,0,0,1,0,1,0,1,0.009523809523809525,0.0031746031746031746,0.047619047619047616,0.0
huffpost.com,0,20,0,0,1,0,0,0,1,0,1,0,1,0.009523809523809525,0.0031746031746031746,0.047619047619047616,0.0
ibm.com,0,15,0,0,1,0,0,0,1,1,1,0,0,0.02631578947368421,0.0,0.0,0.0
id.wikipedia.org,0,24,0,0,2,0,0,0,1,0,1,1,1,0.0136986301369863,0.015220700152207,0.08333333333333333,0.0
ig.com.br,0,17,0,0,2,0,0,0,1,1,1,0,0,0.007575757575757576,0.0025252525252525255,0.0,0.0
ign.com,0,15,0,0,1,0,0,0,1,0,1,0,0,0.03686635944700461,0.0,0.5,0.0
ikea.com,0,16,0,0,1,0,0,0,1,0,1,0,0,0.012345679012345678,0.006172839506172839,0.1,0.0
imageshack.us,0,21,0,0,1,0,0,0,1,1,1,1,1,0.125,0.0625,0.0,0.0
imdb.com,0,16,0,0,1,0,0,0,1,0,1,1,0,0.01652892561983471,0.0,0.07692307692307693,0.0
independent.co.uk,0,25,0,0,2,0,0,0,1,1,1,1,1,0.023090586145648313,0.0017761989342806395,0.16216216216216217,0.0
indiatimes.com,0,22,0,0,1,0,0,0,1,0,1,0,0,0.038461538461538464,0.0,0.047619047619047616,0.0
insider.com,0,19,0,0,1,0,0,0,1,1,1,1,1,0.01809954751131222,0.03167420814479638,0.14285714285714285,0.0
instagram.com,0,21,0,0,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0
instructables.com,0,25,0,0,1,0,0,0,1,0,1,1,1,0.05,0.0,0.05,0.0
intel.com,0,17,0,0,1,0,0,0,1,0,1,1,1,0.045454545454545456,0.015151515151515152,0.043478260869565216,0.0
interia.pl,0,18,0,0,1,0,0,0,1,1,1,0,0,0.03551401869158879,0.014953271028037384,0.07142857142857142,0.0
ipv4.google.com,0,23,0,0,2,0,0,0,1,0,1,1,0,0.06896551724137931,0.0,0.0,0.0
issuu.com,0,17,0,0,1,0,0,0,1,0,1,1,1,0.03305785123966942,0.0,0.04,0.0
istockphoto.com,0,23,0,0,1,0,0,0,1,1,1,1,1,0.5,0.0,0.0,0.0
it.wikipedia.org,0,24,0,0,2,0,0,0,1,0,1,1,1,0.017374517374517374,0.019305019305019305,0.08333333333333333,0.0
itch.io,0,15,0,0,1,0,0,0,1,0,1,1,1,0.013736263736263736,0.0027472527472527475,0.0,0.0
ja.wikipedia.org,0,24,0,0,2,0,0,0,1,0,1,1,1,0.022556390977443608,0.02506265664160401,0.07142857142857142,0.0
jotform.com,0,19,0,0,1,0,0,0,1,1,1,1,0,0.012345679012345678,0.0,0.015625,0.0
kompas.com,0,18,0,0,1,0,0,0,1,1,1,0,0,0.01735357917570499,0.03036876355748373,0.0,0.0
latimes.com,0,19,0,0,1,0,0,0,1,0,1,0,1,0.016073478760045924,0.002296211251435132,0.038461538461538464,0.0
lavanguardia.com,0,24,0,0,1,0,0,0,1,0,1,1,0,0.019417475728155338,0.003236245954692557,0.034482758620689655,0.0
lazada.co.id,0,20,0,0,2,0,0,0,1,0,1,0,0,0.007547169811320755,0.0,0.0,0.0
lefigaro.fr,0,19,0,0,1,0,0,0,1,1,1,0,1,0.005856515373352855,0.021961932650073207,0.0425531914893617,0.0
lemonde.fr,0,18,0,0,1,0,0,0,1,1,1,0,0,0.022535211267605635,0.022535211267605635,0.02702702702702703,0.0
leparisien.fr,0,21,0,0,1,0,0,0,1,1,1,1,1,0.007407407407407408,0.001851851851851852,0.0125,0.0
lexpress.fr,0,19,0,0,1,0,0,0,1,0,1,1,1,0.018808777429467086,0.003134796238244514,0.043478260869565216,0.0
line.me,0,15,0,0,1,0,0,0,1,1,1,1,1,0.125,0.0,0.0,0.0
linkedin.com,0,20,0,0,1,0,0,0,1,0,1,0,0,0.012738853503184714,0.006369426751592357,0.1111111111111111,0.0
linktr.ee,0,17,0,0,1,0,0,0,1,1,1,1,0,0.0603448275862069,0.0603448275862069,0.0,0.0
live.com,0,16,0,0,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0
liveinternet.ru,0,23,0,0,1,0,0,0,1,0,1,0,1,0.034482758620689655,0.0,0.0,0.0
m.wikipedia.org,0,23,0,0,2,0,0,0,1,0,1,0,1,0.008,0.008,0.05,0.0
mail.google.com,0,23,0,0,2,0,0,0,1,0,1,1,0,0.16666666666666666,0.0,0.3333333333333333,0.0
mail.ru,0,15,0,0,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0
mailchi.mp,0,18,0,0,1,0,0,0,1,0,1,1,1,0.038869257950530034,0.0035335689045936395,0.04081632653061224,0.0
maps.google.com,0,23,0,0,2,0,0,0,1,0,1,0,1,1.0,0.0,0.0,0.0
marca.com,0,17,0,0,1,0,0,0,1,0,1,0,0,0.00718132854578097,0.0017953321364452424,0.045454545454545456,0.0
mashable.com,0,20,0,0,1,0,0,0,1,1,1,1,1,0.01856763925729443,0.0,0.007246376811594203,0.0
mdpi.com,0,16,0,0,1,0,0,0,1,0,1,1,0,0.15532286212914484,0.15532286212914484,0.0,0.0
mediafire.com,0,21,0,0,1,0,0,0,1,1,1,1,1,0.16326530612244897,0.1836734693877551,0.125,0.0
medium.com,0,18,0,0,1,0,0,0,1,0,1,1,0,0.14285714285714285,0.0,0.0,0.0
mega.nz,0,15,0,0,1,0,0,0,1,1,1,0,1,1.0,0.0,0.0,0.0
merriam-webster.com,0,27,0,0,1,1,0,0,1,1,1,1,0,0.023809523809523808,0.004761904761904762,0.07142857142857142,0.0
messenger.com,0,21,0,0,1,0,0,0,1,0,1,0,0,0.020833333333333332,0.0,0.02564102564102564,0.0
metro.co.uk,0,19,0,0,2,0,0,0,1,0,1,1,1,0.025196850393700787,0.0,0.05,0.0
mirror.co.uk,0,20,0,0,2,0,0,0,1,1,1,0,0,0.0125,0.0,0.038461538461538464,0.0
mit.edu,0,15,0,0,1,0,0,0,1,1,1,1,1,0.047619047619047616,0.031746031746031744,0.04,0.0
mozilla.com,0,19,0,0,1,0,0,0,1,0,1,1,0,0.02112676056338028,0.007042253521126761,0.03225806451612903,0.0
mozilla.org,0,19,0,0,1,0,0,0,1,0,1,1,0,0.023255813953488372,0.0,0.03125,0.0
msn.com,0,15,0,0,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0
my.yahoo.com,0,20,0,0,2,0,0,0,1,0,1,0,0,0.08695652173913043,0.0,0.0,0.0
myaccount.google.com,0,28,0,0,2,0,0,0,1,0,1,1,0,0.16666666666666666,0.0,0.3333333333333333,0.0
mynavi.jp,0,17,0,0,1,0,0,0,1,1,1,1,0,0.050505050505050504,0.0,0.05,0.0
mystrikingly.com,0,24,0,0,1,0,0,0,1,0,1,1,0,0.07142857142857142,0.07142857142857142,0.0,0.0
namebright.com,0,22,0,0,1,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0
nasa.gov,0,16,0,0,1,0,0,0,1,1,1,0,0,0.01824817518248175,0.0072992700729927005,0.06060606060606061,0.0
nationalgeographic.com,0,30,0,0,1,0,0,0,1,1,1,0,0,0.027777777777777776,0.0,1.0,0.0
nature.com,0,18,0,0,1,0,0,0,1,0,1,1,1,0.02158273381294964,0.03597122302158273,0.02564102564102564,0.0
naver.com,0,17,0,0,1,0,0,0,1,0,1,0,0,0.125,1.0,0.0,0.0
